"P#","Topic","Question","Starter code","Answer","Difficulty"
"3200","Einops","Convert batch-first images (b c h w) to NHWC (b h w c).","to_nhwc(arr)","einops.rearrange(arr, 'b c h w -> b h w c')","20"
"3201","Einops","Tile a single image vertically by factor 3 (c h w -> c (3h) w).","tile_vert(img)","einops.repeat(img, 'c h w -> c (h 3) w')","20"
"3202","Einops","Tile a single image horizontally by factor 4 (c h w -> c h (4w)).","tile_horiz(img)","einops.repeat(img, 'c h w -> c h (w 4)')","20"
"3203","Einops","2x2 average pooling on a batch (b c h w -> b c h/2 w/2).","avgpool_2x2(arr)","einops.reduce(arr, 'b c (h h2) (w w2) -> b c h w', 'mean', h2=2, w2=2)","35"
"3204","Einops","Space-to-depth with p1=p2=2 (b c h w -> b (c*4) h/2 w/2).","space_to_depth_2(arr)","einops.rearrange(arr, 'b c (h p1) (w p2) -> b (c p1 p2) h w', p1=2, p2=2)","40"
"3205","Einops","Depth-to-space inverse with p1=p2=2 (b (c*4) h w -> b c 2h 2w).","depth_to_space_2(arr)","einops.rearrange(arr, 'b (c p1 p2) h w -> b c (h p1) (w p2)', p1=2, p2=2)","40"
"3206","Einops","Split a sequence into chunks of length 4 ((b (n*4) d) -> (b n 4 d)).","chunk_seq4(seq)","einops.rearrange(seq, 'b (n p) d -> b n p d', p=4)","30"
"3207","Einops","Merge chunked sequence back ((b n p d) -> (b (n*p) d)).","unchunk_seq(seq_chunks)","einops.rearrange(seq_chunks, 'b n p d -> b (n p) d')","25"
"3208","Einops","Swap time and batch for sequences ((b t d) -> (t b d)).","time_major(seq)","einops.rearrange(seq, 'b t d -> t b d')","20"
"3209","Einops","Broadcast class embeddings across time: (b d) -> (b t d) given t.","broadcast_cls(cls,t)","einops.repeat(cls, 'b d -> b t d', t=t)","25"
"3210","Einops","Per-image channel mean over spatial dims ((b c h w) -> (b c)).","channel_means(arr)","einops.reduce(arr, 'b c h w -> b c', 'mean')","25"
"3211","Einops","Global mean per image ((b c h w) -> (b)).","image_means(arr)","einops.reduce(arr, 'b c h w -> b', 'mean')","25"
"3212","Einops","Flatten spatial dims of a single image ((c h w) -> (c (h*w))).","flatten_spatial(img)","einops.rearrange(img, 'c h w -> c (h w)')","20"
"3213","Einops","Unflatten back to 2D given h and w ((c (h*w)) -> (c h w)).","unflatten_spatial(flat,h,w)","einops.rearrange(flat, 'c (h w) -> c h w', h=h, w=w)","25"
"3214","Einops","Make a 2x3 grid from first 6 images (channels-first).","grid_2x3(arr)","einops.rearrange(arr[:6], '(g1 g2) c h w -> c (g1 h) (g2 w)', g1=2)","35"
"3215","Einops","Concatenate the whole batch into a single wide strip (c h (b*w)).","batch_row_strip(arr)","einops.rearrange(arr, 'b c h w -> c h (b w)')","30"
"3216","Einops","Arrange first 12 images into a 4x3 grid (channels-first).","grid_4x3(arr)","einops.rearrange(arr[:12], '(g1 g2) c h w -> c (g1 h) (g2 w)', g1=4)","40"
"3217","Einops","Arrange an even-length batch into 2 rows (infer columns).","grid_2xN(arr_even)","einops.rearrange(arr_even, '(r n) c h w -> c (r h) (n w)', r=2)","35"
"3218","Einops","Extract non-overlapping 4x4 patches: (c h w) -> ((h/4*w/4) c 4 4).","extract_patches_4(img)","einops.rearrange(img, 'c (h p1) (w p2) -> (h w) c p1 p2', p1=4, p2=4)","45"
"3219","Einops","Reconstruct image from 4x4 patches ((n c 4 4) -> (c h w)).","unpatchify_4(patches,h,w)","einops.rearrange(patches, '(h w) c p1 p2 -> c (h p1) (w p2)', h=h, w=w)","45"
"3220","Einops","Group channels into pairs and expose pair dimension first (c even).","pair_channels(img)","einops.rearrange(img, '(p two) h w -> two p h w', two=2)","35"
"3221","Einops","Repeat each channel twice along channel dim ((c h w) -> (2c h w)).","double_channels(img)","einops.repeat(img, 'c h w -> (r c) h w', r=2)","25"
"3222","Einops","Split heads: (b t (h*d)) -> (b h t d) for h=8.","split_heads(x)","einops.rearrange(x, 'b t (h d) -> b h t d', h=8)","35"
"3223","Einops","Merge heads: (b h t d) -> (b t (h*d)).","merge_heads(x)","einops.rearrange(x, 'b h t d -> b t (h d)')","30"
"3224","Einops","Mean over heads: (b h t d) -> (b t d).","mean_over_heads(x)","einops.reduce(x, 'b h t d -> b t d', 'mean')","25"
"3225","Einops","Broadcast per-token weights (b t) to match features (b t d).","broadcast_weights(weights,d)","einops.repeat(weights, 'b t -> b t d', d=d)","25"
"3226","Einops","Stack channels vertically into one tall strip ((c h w) -> ((c*h) w)).","channels_vertical_strip(img)","einops.rearrange(img, 'c h w -> (c h) w')","30"
"3227","Einops","Move batch to the last dimension ((b c h w) -> (c h w b)).","batch_last(arr)","einops.rearrange(arr, 'b c h w -> c h w b')","30"
"3228","Einops","Transpose spatial axes for a batch ((b c h w) -> (b c w h)).","transpose_hw_batch(arr)","einops.rearrange(arr, 'b c h w -> b c w h')","20"
"3229","Einops","3x3 average pooling on a single image ((c h w) -> (c h/3 w/3)).","avgpool_3x3(img)","einops.reduce(img, 'c (h h2) (w w2) -> c h w', 'mean', h2=3, w2=3)","40"
