"P#","Topic","Question","Starter code","Answer","Difficulty"
"3300","Einops","Swap color and width for a single image (h w c -> h c w).","swap_cw(img)","einops.rearrange(img, 'h w c -> h c w')","15"
"3301","Einops","Bring color first for the batch (b h w c -> b c h w).","nhwc_to_nchw(arr)","einops.rearrange(arr, 'b h w c -> b c h w')","15"
"3302","Einops","Flatten batch and height then restore (b h w c -> (b*h) w c -> b h w c).","flatten_then_restore(arr,b,h)","tmp = einops.rearrange(arr, 'b h w c -> (b h) w c'); einops.rearrange(tmp, '(b h) w c -> b h w c', b=b, h=h)","25"
"3303","Einops","Insert singleton channel axis (h w -> 1 h w) and remove it back.","add_then_remove_channel(x)","y = einops.rearrange(x, 'h w -> () h w'); einops.rearrange(y, '() h w -> h w')","20"
"3304","Einops","Stack list of HWC images along batch (list -> b h w c).","stack_list(hwcs)","einops.rearrange(hwcs, 'b h w c -> b h w c')","15"
"3305","Einops","Concatenate list of HWC images along width (list -> h (b*w) c).","concat_width(hwcs)","einops.rearrange(hwcs, 'b h w c -> h (b w) c')","20"
"3306","Einops","Reduce over channels with max (b h w c -> b h w).","max_over_channels(arr)","einops.reduce(arr, 'b h w c -> b h w', 'max')","20"
"3307","Einops","Compute per-image spatial min then broadcast subtract (b h w c).","subtract_spatial_min(arr)","mn = einops.reduce(arr, 'b h w c -> b () () c', 'min'); arr - mn","25"
"3308","Einops","Downsample width by 2 via mean (b h (w*2) c -> b h w c).","downsample_w2_mean(arr)","einops.reduce(arr, 'b h (w w2) c -> b h w c', 'mean', w2=2)","25"
"3309","Einops","Upsample height by repeating 3x (b h w c -> b (3h) w c).","upsample_h3_repeat(arr)","einops.repeat(arr, 'b h w c -> b (h r) w c', r=3)","20"
"3310","Einops","Interleave two images row-wise: produce (2h w c) from two h w c.","interleave_rows(a,b)","einops.rearrange([a,b], 'b h w c -> (h b) w c')","30"
"3311","Einops","Interleave two images column-wise: produce (h 2w c).","interleave_cols(a,b)","einops.rearrange([a,b], 'b h w c -> h (b w) c')","30"
"3312","Einops","Compute per-batch-image grayscale by mean over c (b h w c -> b h w 1).","to_grayscale(arr)","einops.reduce(arr, 'b h w c -> b h w ()', 'mean')","20"
"3313","Einops","Make a 3x2 grid from first 6 HWC images (b h w c -> h*(3) w*(2) c).","grid_3x2(arr)","einops.rearrange(arr[:6], '(g1 g2) h w c -> (g1 h) (g2 w) c', g1=3)","30"
"3314","Einops","Transpose each 2x2 patch in an image (h w c -> h w c).","transpose_patches_2x2(img)","einops.rearrange(img, '(h p1) (w p2) c -> (w p1) (h p2) c', p1=2, p2=2)","40"
"3315","Einops","Split each image into top/bottom halves and stack vertically (b h w c -> (2b) h/2 w c).","split_tb_stack(arr)","einops.rearrange(arr, 'b (two h) w c -> (two b) h w c', two=2)","30"
"3316","Einops","Create a checkerboard of four images (a,b,c,d -> 2x2 grid).","checker4(a,b,c,d)","einops.rearrange([a,b,c,d], '(r c) h w ch -> (r h) (c w) ch', r=2)","30"
"3317","Einops","Extract 3x3 non-overlapping patches from NHWC (-> n 3 3 c).","extract_3x3_nhwc(img)","einops.rearrange(img, '(h p1) (w p2) c -> (h w) p1 p2 c', p1=3, p2=3)","35"
"3318","Einops","Reassemble NHWC image from 3x3 patches (given h,w).","assemble_3x3_nhwc(patches,h,w)","einops.rearrange(patches, '(h w) p1 p2 c -> (h p1) (w p2) c', h=h, w=w)","35"
"3319","Einops","Move batch into width then back (b h w c -> h (b w) c -> b h w c).","batch_into_width_roundtrip(arr,b)","tmp = einops.rearrange(arr, 'b h w c -> h (b w) c'); einops.rearrange(tmp, 'h (b w) c -> b h w c', b=b)","25"
"3320","Einops","Split width by factor 4 then swap the subfactor with height.","splitw4_swap(arr)","einops.rearrange(arr, 'b h (w w4) c -> b (w4 h) w c', w4=4)","35"
"3321","Einops","Repeat channel dimension into spatial: (h w c) -> ((c h) w 1).","channel_into_height(img)","einops.rearrange(img, 'h w c -> (c h) w ()')","25"
"3322","Einops","Squeeze and unsqueeze using () in pattern (b h w c -> b () h w c -> b h w c).","squeeze_unsqueeze(arr)","tmp = einops.rearrange(arr, 'b h w c -> b () h w c'); einops.rearrange(tmp, 'b () h w c -> b h w c')","20"
"3323","Einops","Stack and then concatenate list of images: first add batch then move to width.","stack_then_concat(hwcs)","einops.rearrange(hwcs, 'b h w c -> h (b w) c')","20"
"3324","Einops","Compute per-row max then subtract (h w c -> h w c).","subtract_row_max(img)","mx = einops.reduce(img, 'h w c -> h () c', 'max'); img - mx","25"
"3325","Einops","Compute per-column max then subtract (h w c -> h w c).","subtract_col_max(img)","mx = einops.reduce(img, 'h w c -> () w c', 'max'); img - mx","25"
"3326","Einops","Repeat each pixel 2x2 (nearest-neighbor upsample) (h w c -> 2h 2w c).","nearest_upsample_2(img)","einops.repeat(img, '(h) (w) c -> (h 2) (w 2) c')","20"
"3327","Einops","Collapse color into width while averaging over height (h w c -> w c).","collapse_color_avg_h(img)","einops.reduce(img, 'h w c -> w c', 'mean')","20"
"3328","Einops","Roll color channel into batch (h w c -> (c) h w).","color_into_batch(img)","einops.rearrange(img, 'h w c -> c h w')","20"
"3329","Einops","Split batch 3x2 then weave dimensions into a single tall image.","weave_b3x2(arr)","einops.rearrange(arr, '(r c) h w ch -> (r h) (c w) ch', r=3)","35"
"3330","Einops","Compose and decompose: (b h w c)->(h (b w) c)->(b h w c) with correctness check.","compose_decompose_roundtrip(arr,b)","tmp = einops.rearrange(arr, 'b h w c -> h (b w) c'); einops.rearrange(tmp, 'h (b w) c -> b h w c', b=b)","25"

