Topic,Subtopic,Question,Answer,Problem difficulty,Output
Einops,Rearrange,Space-to-depth with p1=p2=2 (b c h w -> b (c*4) h/2 w/2).,"einops.rearrange(arr, 'b c (h p1) (w p2) -> b (c p1 p2) h w', p1=2, p2=2)",40,
Einops,Rearrange,Move batch into width then back (b h w c -> h (b w) c -> b h w c).,"tmp = einops.rearrange(arr, 'b h w c -> h (b w) c'); einops.rearrange(tmp, 'h (b w) c -> b h w c', b=b)",25,
Einops,Rearrange,Split a sequence into chunks of length 4 ((b (n*4) d) -> (b n 4 d)).,"einops.rearrange(seq, 'b (n p) d -> b n p d', p=4)",30,
Einops,Deep Learning,"Split bbox predictions into 4 variables (x,y,w,h).","bbox_x, bbox_y, bbox_w, bbox_h = einops.rearrange(x, 'b (coord bbox) h w -> coord b bbox h w', coord=4)",35,
Einops,Repeat,Tile a single image vertically by factor 3 (c h w -> c (3h) w).,"einops.repeat(img, 'c h w -> c (h 3) w')",20,
Einops,Rearrange,Arrange first 12 images into a 4x3 grid (channels-first).,"einops.rearrange(arr[:12], '(g1 g2) c h w -> c (g1 h) (g2 w)', g1=4)",40,
Einops,Rearrange,Convert batch-first images (b c h w) to NHWC (b h w c).,"einops.rearrange(arr, 'b c h w -> b h w c')",20,
Einops,Rearrange,Split each image into top/bottom halves and stack vertically (b h w c -> (2b) h/2 w c).,"einops.rearrange(arr, 'b (two h) w c -> (two b) h w c', two=2)",30,
Einops,Deep Learning,"Depth-to-space inverse for h1=4, w1=2 (b (4*2*c) h w -> b c (h*4) (w*2)).","einops.rearrange(x, 'b (h1 w1 c) h w -> b c (h h1) (w w1)', h1=4, w1=2)",35,
Einops,Deep Learning,"Pack subgrids for strided conv: move hs,ws into batch; then restore.","y = einops.rearrange(x, 'b c (h hs) (w ws) -> (hs ws b) c h w', hs=hs, ws=ws); out = einops.rearrange(y, '(hs ws b) c h w -> b c (h hs) (w ws)', hs=hs, ws=ws)",40,
Einops,Rearrange,"Reassemble NHWC image from 3x3 patches (given h,w).","einops.rearrange(patches, '(h w) p1 p2 c -> (h p1) (w p2) c', h=h, w=w)",35,
Einops,Reduce,2x2 average pooling on a batch (b c h w -> b c h/2 w/2).,"einops.reduce(arr, 'b c (h h2) (w w2) -> b c h w', 'mean', h2=2, w2=2)",35,
Einops,Reduce,Global mean per image ((b c h w) -> (b)).,"einops.reduce(arr, 'b c h w -> b', 'mean')",25,
Einops,Reduce,Reduce over channels with max (b h w c -> b h w).,"einops.reduce(arr, 'b h w c -> b h w', 'max')",20,
Einops,Rearrange,Swap color and width for a single image (h w c -> h c w).,"einops.rearrange(img, 'h w c -> h c w')",15,
Einops,Reduce,Collapse color into width while averaging over height (h w c -> w c).,"einops.reduce(img, 'h w c -> w c', 'mean')",20,
Einops,Rearrange,Make a 2x3 grid from first 6 images (channels-first).,"einops.rearrange(arr[:6], '(g1 g2) c h w -> c (g1 h) (g2 w)', g1=2)",35,
Einops,Rearrange,Move batch to the last dimension ((b c h w) -> (c h w b)).,"einops.rearrange(arr, 'b c h w -> c h w b')",30,
Einops,Rearrange,Arrange an even-length batch into 2 rows (infer columns).,"einops.rearrange(arr_even, '(r n) c h w -> c (r h) (n w)', r=2)",35,
Einops,Reduce,Compute per-row max then subtract (h w c -> h w c).,"mx = einops.reduce(img, 'h w c -> h () c', 'max'); img - mx",25,
Einops,Deep Learning,Stack list of BCHW tensors and convert to BHWC order.,"einops.rearrange(list_of_tensors, 'b c h w -> b h w c')",20,
Einops,Rearrange,Interleave two images row-wise: produce (2h w c) from two h w c.,"einops.rearrange([img_a, img_b], 'b h w c -> (h b) w c')",30,
Einops,Rearrange,Roll color channel into batch (h w c -> (c) h w).,"einops.rearrange(img, 'h w c -> c h w')",20,
Einops,Reduce,Shrinking (max pooling): downsample with 2x2 pooling then grid.,"arr8 = einops.reduce(arr, '(b1 b2) c (h h2) (w w2) -> c (b1 h) (b2 w)', 'max', h2=2, w2=2, b1=2); display_array_as_img(arr8)",45,
Einops,Rearrange,Compose and decompose: (b h w c)->(h (b w) c)->(b h w c) with correctness check.,"tmp = einops.rearrange(arr, 'b h w c -> h (b w) c'); einops.rearrange(tmp, 'h (b w) c -> b h w c', b=b)",25,
Einops,Repeat,Broadcast class embeddings across time: (b d) -> (b t d) given t.,"einops.repeat(cls, 'b d -> b t d', t=t)",25,
Einops,Repeat,Broadcast per-token weights (b t) to match features (b t d).,"einops.repeat(weights, 'b t -> b t d', d=d)",25,
Einops,Deep Learning,Per-image per-channel mean normalization (subtract spatial mean).,"x - einops.reduce(x, 'b c h w -> b c 1 1', 'mean')",25,
Einops,Repeat,Column-stacking and copying: take first digit and copy along rows.,"arr2 = einops.repeat(arr[0], 'c h w -> c (2 h) w'); display_array_as_img(arr2)",35,
Einops,Rearrange,Flatten batch and height then restore (b h w c -> (b*h) w c -> b h w c).,"tmp = einops.rearrange(arr, 'b h w c -> (b h) w c'); einops.rearrange(tmp, '(b h) w c -> b h w c', b=b, h=h)",25,
Einops,Rearrange,Depth-to-space inverse with p1=p2=2 (b (c*4) h w -> b c 2h 2w).,"einops.rearrange(arr, 'b (c p1 p2) h w -> b c (h p1) (w p2)', p1=2, p2=2)",40,
Einops,Rearrange,Transpose: swap height and width of a single image.,"arr7 = einops.rearrange(arr[1], 'c h w -> c w h'); display_array_as_img(arr7)",30,
Einops,Rearrange,Bring color first for the batch (b h w c -> b c h w).,"einops.rearrange(arr, 'b h w c -> b c h w')",15,
Einops,Rearrange,Stack and then concatenate list of images: first add batch then move to width.,"einops.rearrange(hwcs, 'b h w c -> h (b w) c')",20,
Einops,Rearrange,Split channels: split RGB channels and stack horizontally (2D output).,"arr5 = einops.rearrange(arr[0], 'c h w -> h (c w)'); display_array_as_img(arr5)",35,
Einops,Repeat,Upsample height by repeating 3x (b h w c -> b (3h) w c).,"einops.repeat(arr, 'b h w c -> b (h r) w c', r=3)",20,
Einops,Deep Learning,Reduce to a scalar for loss sanity-check (sum over all dims).,"einops.reduce(x, 'b c h w -> ', 'sum')",20,
Einops,Rearrange,Transpose each 2x2 patch in an image (h w c -> h w c).,"einops.rearrange(img, '(h p1) (w p2) c -> (w p1) (h p2) c', p1=2, p2=2)",40,
Einops,Repeat,Repeat each pixel 2x2 (nearest-neighbor upsample) (h w c -> 2h 2w c).,"einops.repeat(img, 'h w c -> (h 2) (w 2) c')",20,
Einops,Repeat,Stretching: stretch a single image vertically by factor 2.,"arr4 = einops.repeat(arr[0], 'c h w -> c (h 2) w'); display_array_as_img(arr4)",30,
Einops,Rearrange,Merge chunked sequence back ((b n p d) -> (b (n*p) d)).,"einops.rearrange(seq_chunks, 'b n p d -> b (n p) d')",25,
Einops,Reduce,Compute per-image spatial min then broadcast subtract (b h w c).,"mn = einops.reduce(arr, 'b h w c -> b () () c', 'min'); arr - mn",25,
Einops,Repeat,Row-stacking and double-copying: stack first 2 digits and copy columns.,"arr3 = einops.repeat(arr[0:2], 'b c h w -> c (b h) (2 w)'); display_array_as_img(arr3)",40,
Einops,Deep Learning,Flatten feature maps for a linear layer (b c h w -> b (c*h*w)).,"einops.rearrange(x, 'b c h w -> b (c h w)')",20,
Einops,Rearrange,Stack channels vertically into one tall strip ((c h w) -> ((c*h) w)).,"einops.rearrange(img, 'c h w -> (c h) w')",30,
Einops,Rearrange,Squeeze and unsqueeze using () in pattern (b h w c -> b () h w c -> b h w c).,"tmp = einops.rearrange(arr, 'b h w c -> b () h w c'); einops.rearrange(tmp, 'b () h w c -> b h w c')",20,
Einops,Deep Learning,GLU-style split: first half then second (consecutive).,"part1, part2 = einops.rearrange(x, 'b (split c) h w -> split b c h w', split=2)",30,
Einops,Rearrange,Insert singleton channel axis (h w -> 1 h w) and remove it back.,"y = einops.rearrange(x2d, 'h w -> () h w'); einops.rearrange(y, '() h w -> h w')",20,
Einops,Rearrange,Stack list of HWC images along batch (list -> b h w c).,"einops.rearrange(hwcs, 'b h w c -> b h w c')",15,
Einops,Deep Learning,GLU-style split: interleaved channels (every other).,"part1, part2 = einops.rearrange(x, 'b (c_in split) h w -> split b c_in h w', split=2)",35,
Einops,Reduce,3x3 average pooling on a single image ((c h w) -> (c h/3 w/3)).,"einops.reduce(img, 'c (h h2) (w w2) -> c h w', 'mean', h2=3, w2=3)",40,
Einops,Rearrange,"Stack into rows & cols: arrange images into grid by b1,b2.","arr6 = einops.rearrange(arr, '(b1 b2) c h w -> c (b1 h) (b2 w)', b1=2); display_array_as_img(arr6)",45,
Einops,Deep Learning,Stack list and move list axis to last: BCHW -> HWCB.,"einops.rearrange(list_of_tensors, 'b c h w -> h w c b')",25,
Einops,Deep Learning,1D max pooling over time with window=3 (no overlap).,"einops.reduce(x_seq, 'b c (t w) -> b c t', 'max', w=3)",30,
Einops,Reduce,Per-image channel mean over spatial dims ((b c h w) -> (b c)).,"einops.reduce(arr, 'b c h w -> b c', 'mean')",25,
