id,tier,primary,p_primary,secondary,self_contained,needs_figure
lc6,fallback,leetcode.arrays-strings,0.89,,0.84,0.14
lc7,core,leetcode.math,0.86,,0.92,0.02
lc8,fallback,leetcode.arrays-strings,0.93,,0.92,0.1
lc9,core,leetcode.math,0.86,,0.93,0.03
lc10,core,leetcode.dp-strings,0.95,leetcode.recursion,0.93,0.03
lc12,fallback,leetcode.greedy,0.93,,0.92,0.04
lc13,core,leetcode.arrays-strings,0.78,,0.94,0.04
lc14,core,leetcode.arrays-strings,0.91,,0.93,0.02
lc16,fallback,leetcode.two-pointers,0.98,,0.91,0.03
lc18,core,leetcode.two-pointers,0.95,,0.93,0.03
lc24,fallback,leetcode.recursion,0.94,leetcode.linked-lists,0.79,0.13
lc26,core,leetcode.two-pointers,0.9,,0.94,0.03
lc27,core,leetcode.two-pointers,0.68,leetcode.arrays-strings,0.91,0.03
lc28,core,leetcode.arrays-strings,0.84,,0.95,0.02
lc29,core,leetcode.bit-manipulation,0.21,,0.93,0.03
lc30,fallback,leetcode.sliding-window,0.95,leetcode.hash-maps,0.91,0.03
lc32,fallback,leetcode.dp-1d,0.92,,0.8,0.03
lc36,core,leetcode.hash-maps,0.57,,0.93,0.07
lc37,core,leetcode.backtracking,0.98,leetcode.recursion,0.89,0.14
lc38,core,leetcode.arrays-strings,0.86,,0.94,0.03
lc40,core,leetcode.backtracking,0.98,leetcode.recursion;leetcode.subsets,0.9,0.03
lc43,core,leetcode.arrays-strings,0.78,,0.93,0.03
lc44,core,leetcode.dp-strings,0.94,leetcode.recursion,0.94,0.03
lc47,core,leetcode.backtracking,0.98,leetcode.subsets;leetcode.recursion,0.89,0.03
lc50,core,leetcode.math,0.27,,0.91,0.03
lc52,core,leetcode.backtracking,0.99,leetcode.recursion,0.54,0.38
lc57,core,leetcode.merge-intervals,0.95,leetcode.greedy,0.94,0.04
lc58,fallback,leetcode.arrays-strings,0.96,leetcode.two-pointers,0.96,0.02
lc59,fallback,leetcode.arrays-strings,0.86,,0.75,0.16
lc60,fallback,leetcode.math,0.62,,0.92,0.04
lc61,core,leetcode.linked-lists,0.79,,0.74,0.09
lc63,core,leetcode.dp-grid,0.9,leetcode.recursion,0.93,0.11
lc65,fallback,leetcode.arrays-strings,0.94,,0.94,0.03
lc66,core,leetcode.arrays-strings,0.87,,0.94,0.03
lc67,core,leetcode.math,0.4,,0.9,0.03
lc68,fallback,leetcode.arrays-strings,0.9,,0.93,0.04
lc69,core,leetcode.binary-search,0.95,,0.92,0.03
lc71,core,leetcode.stack,0.97,,0.96,0.03
lc77,core,leetcode.backtracking,0.98,leetcode.subsets;leetcode.recursion,0.94,0.03
lc80,fallback,leetcode.two-pointers,0.88,leetcode.arrays-strings,0.94,0.03
lc81,core,leetcode.binary-search,0.97,,0.91,0.05
lc82,fallback,leetcode.linked-lists,0.96,,0.8,0.05
lc83,fallback,leetcode.linked-lists,0.98,,0.8,0.07
