question_id,concept,p_harder,difficulty_score
1,torch.argmin-argmax,0.059214,20
8,torch.random-threading,0.063364,30
12,torch.boolean-masking,0.184826,60
19,torch.dtype-astype,0.124971,45
23,torch.reshape-flatten,0.269532,75
24,torch.argmin-argmax,0.124225,45
26,torch.aggregations,0.114023,50
28,torch.aggregations,0.056775,30
36,torch.reshape-flatten,0.114905,50
37,torch.dot-matmul-patterns,0.034654,15
38,torch.argmin-argmax,0.049042,15
41,torch.constructors,0.208945,60
42,torch.random-samplers,0.079427,25
43,torch.elementwise-ops,0.154104,60
46,torch.reshape-flatten,0.161972,60
48,torch.constructors,0.463682,95
49,torch.elementwise-ops,0.085334,40
50,torch.constructors,0.055375,15
51,torch.dtype-astype,0.319011,80
52,torch.boolean-masking,0.044734,15
53,torch.ranges,0.128421,20
58,torch.sorting,0.201263,50
61,torch.argmin-argmax,0.176466,55
62,torch.aggregations,0.066957,35
63,torch.elementwise-ops,0.067293,35
64,torch.aggregations,0.227691,70
67,torch.elementwise-ops,0.078101,40
74,torch.slicing-views,0.135078,55
75,torch.slicing-views,0.091991,45
76,torch.slicing-views,0.116694,55
84,torch.stack-concat-interleave,0.083788,30
85,torch.boolean-masking,0.311293,80
87,torch.dtype-astype,0.500000,100
89,torch.stack-concat-interleave,0.223048,65
95,torch.dot-matmul-patterns,0.182406,60
98,torch.argmin-argmax,0.163468,55
103,tensor.stable-probabilities,0.084866,40
104,torch.random-threading,0.160552,60
107,torch.linalg-basics,0.081458,35
108,torch.axis-reductions,0.500000,100
111,torch.broadcasting-rules,0.053032,15
121,torch.dot-matmul-patterns,0.118548,50
135,torch.axis-reductions,0.439876,95
141,torch.dot-matmul-patterns,0.303116,80
144,torch.dot-matmul-patterns,0.056775,30
145,torch.boolean-masking,0.500000,100
146,torch.stack-concat-interleave,0.439385,95
151,torch.broadcasting-rules,0.163961,50
159,torch.stack-concat-interleave,0.287566,75
168,torch.argmin-argmax,0.500000,100
174,torch.axis-reductions,0.255842,70
189,torch.slicing-views,0.201954,70
192,torch.elementwise-ops,0.084721,40
202,torch.boolean-masking,0.449262,95
212,torch.constructors,0.088972,30
213,torch.constructors,0.150184,50
214,torch.ranges,0.500000,100
215,torch.dtype-astype,0.400735,90
219,torch.argmin-argmax,0.102325,40
220,torch.axis-reductions,0.127002,45
224,torch.tensor-model,0.103341,30
225,torch.constructors,0.091991,30
227,torch.constructors,0.071039,25
228,torch.constructors,0.081458,25
229,torch.ranges,0.145496,30
230,torch.dtype-astype,0.109022,40
231,torch.slicing-views,0.063364,40
232,torch.boolean-masking,0.063364,25
233,torch.slicing-views,0.108390,50
236,torch.boolean-masking,0.063364,25
238,torch.stack-concat-interleave,0.104048,35
239,torch.linalg-basics,0.060322,25
242,torch.ranges,0.376643,80
313,einops.patches-space-depth,0.285765,25
314,einops.merge-axes,0.219709,35
315,einops.split-axes,0.142857,45
316,einops.channel-groups-temporal,0.381408,70
317,einops.repeat-model,0.079427,25
318,einops.grids-montage,0.324500,65
319,einops.pattern-language,0.168552,40
320,einops.split-axes,0.261276,70
321,einops.patches-space-depth,0.346058,50
322,einops.grids-montage,0.366322,75
323,einops.patches-space-depth,0.322428,40
324,einops.pooling,0.093932,30
325,einops.reduce-model,0.164985,30
326,einops.reduce-model,0.190342,35
327,einops.pattern-language,0.128496,30
328,einops.reduce-model,0.174418,30
329,einops.grids-montage,0.205820,35
330,einops.pattern-language,0.168552,40
331,einops.split-axes,0.500000,100
332,einops.reduce-model,0.566970,100
333,einops.singleton-and-lists,0.304108,60
334,einops.singleton-and-lists,0.500000,100
335,einops.pattern-language,0.117290,25
336,einops.pooling,0.500000,100
337,einops.split-axes,0.176466,55
338,einops.repeat-model,0.099554,30
339,einops.repeat-model,0.091991,30
340,einops.reduce-model,0.500000,100
341,einops.repeat-model,0.130000,40
342,einops.merge-axes,0.179579,25
343,einops.patches-space-depth,0.322428,40
344,einops.pattern-language,0.154104,40
345,einops.pattern-language,0.143116,35
346,einops.merge-axes,0.187092,25
347,einops.merge-axes,0.202119,30
348,einops.repeat-model,0.119639,35
349,einops.dl-flatten-heads,0.073605,15
350,einops.patches-space-depth,0.339862,45
351,einops.repeat-model,0.093932,30
352,einops.repeat-model,0.160000,50
353,einops.merge-axes,0.194683,30
354,einops.pooling,0.194562,55
355,einops.repeat-model,0.234074,65
356,einops.dl-flatten-heads,0.074634,15
357,einops.merge-axes,0.215692,35
358,einops.singleton-and-lists,0.294188,55
359,einops.channel-groups-temporal,0.340187,60
360,einops.singleton-and-lists,0.154104,15
361,einops.singleton-and-lists,0.236368,40
362,einops.channel-groups-temporal,0.489149,95
363,einops.pooling,0.098200,30
364,einops.grids-montage,0.180804,25
365,einops.singleton-and-lists,0.590860,100
367,einops.reduce-model,0.124971,15
368,einops.pooling,0.212909,60
369,einops.channel-groups-temporal,0.317189,55
370,einops.reduce-model,0.493582,100
371,einops.grids-montage,0.270692,50
372,einops.channel-groups-temporal,0.315667,50
373,einops.merge-axes,0.456013,90
374,einops.singleton-and-lists,0.460083,90
375,einops.channel-groups-temporal,0.342351,60
376,einops.singleton-and-lists,0.405784,80
377,einops.pooling,0.151714,45
378,einops.channel-groups-temporal,0.320120,55
379,einops.pattern-language,0.146656,35
380,einops.merge-axes,0.568700,100
381,einops.grids-montage,0.180672,25
382,einops.grids-montage,0.146669,15
383,einops.repeat-model,0.104048,30
384,einops.dl-flatten-heads,0.071039,15
385,einops.repeat-model,0.083788,25
388,einops.pattern-language,0.087902,15
389,einops.grids-montage,0.195194,30
390,einops.split-axes,0.102325,35
391,einops.merge-axes,0.154104,15
392,einops.merge-axes,0.255397,45
394,einops.dl-flatten-heads,0.093932,25
395,einops.patches-space-depth,0.494468,100
396,einops.dl-flatten-heads,0.142857,40
397,einops.channel-groups-temporal,0.201954,15
398,einops.patches-space-depth,0.324500,40
399,einops.reduce-model,0.362591,75
400,einops.merge-axes,0.500000,100
401,einops.patches-space-depth,0.381374,60
402,einops.reduce-model,0.614838,100
403,einops.patches-space-depth,0.261276,15
404,einops.patches-space-depth,0.376643,60
405,cnn.convolution-2d,0.020000,15
406,cnn.convolution-2d,0.020000,15
407,subtopic:CNN: Output shape & arithmetic,0.294188,15
408,cnn.convolution-2d,0.020000,15
409,cnn.convolution-2d,0.020000,15
410,subtopic:CNN: Output shape & arithmetic,0.500000,100
411,subtopic:CNN: Conv2d module mechanics,0.064821,35
412,subtopic:CNN: Conv2d module mechanics,0.030000,15
413,subtopic:CNN: Conv2d module mechanics,0.094882,45
414,subtopic:CNN: Conv2d module mechanics,0.110000,50
415,subtopic:CNN: Conv2d module mechanics,0.500000,100
416,cnn.convolution-2d,0.020000,15
417,"subtopic:CNN: Pooling, Flatten, BatchNorm",0.384821,55
418,cnn.pooling,0.020000,20
419,"subtopic:CNN: Pooling, Flatten, BatchNorm",0.294188,20
420,"subtopic:CNN: Pooling, Flatten, BatchNorm",0.500000,100
421,"subtopic:CNN: Pooling, Flatten, BatchNorm",0.482904,95
422,"subtopic:CNN: Pooling, Flatten, BatchNorm",0.287146,15
423,cnn.sequential,0.079427,40
424,subtopic:CNN: nn.Module & training loop,0.500000,100
425,cnn.training-loop,0.104895,50
426,subtopic:CNN: nn.Module & training loop,0.262524,15
427,subtopic:CNN: nn.Module & training loop,0.341032,45
428,subtopic:CNN: nn.Module & training loop,0.298073,30
429,subtopic:PyTorch Fundamentals: Reduction ops: amax,0.034654,15
430,subtopic:PyTorch Fundamentals: Reduction ops: amax,0.140000,55
431,subtopic:PyTorch Fundamentals: Reduction ops: amax,0.500000,100
432,subtopic:PyTorch Fundamentals: Weight Initialization (normal_ / constant_),0.114023,15
433,subtopic:PyTorch Fundamentals: Weight Initialization (normal_ / constant_),0.124594,20
