concept,question_id,champion_id,p_harder,rounds
cnn.batch-normalization,459,1311,0.070000,1
cnn.batch-normalization,460,1311,0.024508,1
cnn.batch-normalization,1297,1311,0.020000,1
cnn.batch-normalization,1298,1311,0.034654,1
cnn.batch-normalization,1299,1311,0.024508,1
cnn.batch-normalization,1300,1311,0.024508,1
cnn.batch-normalization,1301,1311,0.044734,1
cnn.batch-normalization,1302,1311,0.044734,1
cnn.batch-normalization,1303,1311,0.030000,1
cnn.batch-normalization,1304,1311,0.040000,1
cnn.batch-normalization,1305,1311,0.094882,1
cnn.batch-normalization,1306,1311,0.040000,1
cnn.batch-normalization,1307,1311,0.020000,1
cnn.batch-normalization,1308,1311,0.040000,1
cnn.batch-normalization,1309,1311,0.094882,1
cnn.batch-normalization,1310,1311,0.136738,1
cnn.batch-normalization,1311,1311,0.500000,1
cnn.batch-normalization,1312,1311,0.419471,1
cnn.block-group,1402,1411,0.133024,1
cnn.block-group,1403,1411,0.059214,1
cnn.block-group,1404,1411,0.067293,1
cnn.block-group,1405,1411,0.074847,1
cnn.block-group,1406,1411,0.238708,1
cnn.block-group,1407,1411,0.119639,1
cnn.block-group,1408,1411,0.384402,1
cnn.block-group,1409,1411,0.202757,1
cnn.block-group,1410,1411,0.251652,1
cnn.block-group,1411,1411,0.500000,1
cnn.block-group,1412,1411,0.303865,1
cnn.convolution-1d,1233,1247,0.044734,2
cnn.convolution-1d,1234,1247,0.060000,2
cnn.convolution-1d,1235,1247,0.020000,2
cnn.convolution-1d,1236,1247,0.063707,2
cnn.convolution-1d,1237,1247,0.059214,2
cnn.convolution-1d,1238,1247,0.054785,2
cnn.convolution-1d,1239,1247,0.080000,2
cnn.convolution-1d,1240,1247,0.094882,2
cnn.convolution-1d,1241,1247,0.024508,2
cnn.convolution-1d,1242,1247,0.139520,2
cnn.convolution-1d,1243,1247,0.087967,2
cnn.convolution-1d,1244,1247,0.077674,2
cnn.convolution-1d,1245,1247,0.195194,2
cnn.convolution-1d,1246,1247,0.150000,2
cnn.convolution-1d,1247,1247,0.500000,2
cnn.convolution-1d,1248,1247,0.304108,2
cnn.convolution-2d,405,1261,0.020000,1
cnn.convolution-2d,406,1261,0.020000,1
cnn.convolution-2d,408,1261,0.020000,1
cnn.convolution-2d,409,1261,0.020000,1
cnn.convolution-2d,416,1261,0.020000,1
cnn.convolution-2d,1249,1261,0.087902,1
cnn.convolution-2d,1250,1261,0.100000,1
cnn.convolution-2d,1251,1261,0.020000,1
cnn.convolution-2d,1252,1261,0.030000,1
cnn.convolution-2d,1253,1261,0.030000,1
cnn.convolution-2d,1254,1261,0.135403,1
cnn.convolution-2d,1255,1261,0.236108,1
cnn.convolution-2d,1256,1261,0.139000,1
cnn.convolution-2d,1257,1261,0.138796,1
cnn.convolution-2d,1258,1261,0.220675,1
cnn.convolution-2d,1259,1261,0.163961,1
cnn.convolution-2d,1260,1261,0.301019,1
cnn.convolution-2d,1261,1261,0.500000,1
cnn.convolution-2d,1262,1261,0.474423,1
cnn.convolution-2d,1263,1261,0.050000,1
cnn.convolution-2d,1264,1261,0.060000,1
cnn.feature-extraction,1426,1438,0.044734,1
cnn.feature-extraction,1427,1438,0.089498,1
cnn.feature-extraction,1428,1438,0.044734,1
cnn.feature-extraction,1429,1438,0.059214,1
cnn.feature-extraction,1430,1438,0.179783,1
cnn.feature-extraction,1431,1438,0.059214,1
cnn.feature-extraction,1432,1438,0.059214,1
cnn.feature-extraction,1433,1438,0.119639,1
cnn.feature-extraction,1434,1438,0.073605,1
cnn.feature-extraction,1435,1438,0.079427,1
cnn.feature-extraction,1436,1438,0.094882,1
cnn.feature-extraction,1437,1438,0.144928,1
cnn.feature-extraction,1438,1438,0.500000,1
cnn.feature-extraction,1439,1438,0.133024,1
cnn.feature-extraction,1440,1438,0.208414,1
cnn.forward-hooks,1458,1468,0.089498,1
cnn.forward-hooks,1459,1468,0.064821,1
cnn.forward-hooks,1460,1468,0.034654,1
cnn.forward-hooks,1461,1468,0.053032,1
cnn.forward-hooks,1462,1468,0.079427,1
cnn.forward-hooks,1463,1468,0.079427,1
cnn.forward-hooks,1464,1468,0.120000,1
cnn.forward-hooks,1465,1468,0.069336,1
cnn.forward-hooks,1466,1468,0.079427,1
cnn.forward-hooks,1467,1468,0.050000,1
cnn.forward-hooks,1468,1468,0.500000,1
cnn.forward-hooks,1469,1468,0.114144,1
cnn.forward-hooks,1470,1468,0.100000,1
cnn.linear-layer,1185,1199,0.099554,3
cnn.linear-layer,1186,1199,0.074847,3
cnn.linear-layer,1187,1199,0.120688,3
cnn.linear-layer,1188,1199,0.184826,3
cnn.linear-layer,1189,1199,0.479871,3
cnn.linear-layer,1190,1199,0.354220,3
cnn.linear-layer,1191,1199,0.245073,3
cnn.linear-layer,1192,1199,0.289077,3
cnn.linear-layer,1193,1199,0.313943,3
cnn.linear-layer,1194,1199,0.409851,3
cnn.linear-layer,1195,1199,0.303116,3
cnn.linear-layer,1196,1199,0.510064,3
cnn.linear-layer,1197,1199,0.189191,3
cnn.linear-layer,1198,1199,0.279394,3
cnn.linear-layer,1199,1199,0.500000,3
cnn.linear-layer,1200,1199,0.131972,3
cnn.mlp,1201,1215,0.028334,2
cnn.mlp,1202,1215,0.064821,2
cnn.mlp,1203,1215,0.073605,2
cnn.mlp,1204,1215,0.091991,2
cnn.mlp,1205,1215,0.134294,2
cnn.mlp,1206,1215,0.112599,2
cnn.mlp,1207,1215,0.069336,2
cnn.mlp,1208,1215,0.109601,2
cnn.mlp,1209,1215,0.141420,2
cnn.mlp,1210,1215,0.317904,2
cnn.mlp,1211,1215,0.223048,2
cnn.mlp,1212,1215,0.324980,2
cnn.mlp,1213,1215,0.190982,2
cnn.mlp,1214,1215,0.076092,2
cnn.mlp,1215,1215,0.500000,2
cnn.mlp,1216,1215,0.270101,2
cnn.module-state,1169,1184,0.038781,2
cnn.module-state,1170,1184,0.056775,2
cnn.module-state,1171,1184,0.265716,2
cnn.module-state,1172,1184,0.255842,2
cnn.module-state,1173,1184,0.049042,2
cnn.module-state,1174,1184,0.059214,2
cnn.module-state,1175,1184,0.053032,2
cnn.module-state,1176,1184,0.071039,2
cnn.module-state,1177,1184,0.343597,2
cnn.module-state,1178,1184,0.254190,2
cnn.module-state,1179,1184,0.120688,2
cnn.module-state,1180,1184,0.230433,2
cnn.module-state,1181,1184,0.201029,2
cnn.module-state,1182,1184,0.500000,2
cnn.module-state,1183,1184,0.379179,2
cnn.module-state,1184,1184,0.500000,2
cnn.pooling,418,1278,0.020000,1
cnn.pooling,1265,1278,0.014154,1
cnn.pooling,1266,1278,0.109022,1
cnn.pooling,1267,1278,0.115247,1
cnn.pooling,1268,1278,0.020000,1
cnn.pooling,1269,1278,0.030000,1
cnn.pooling,1270,1278,0.154104,1
cnn.pooling,1271,1278,0.030000,1
cnn.pooling,1272,1278,0.030000,1
cnn.pooling,1273,1278,0.020000,1
cnn.pooling,1274,1278,0.097805,1
cnn.pooling,1275,1278,0.044734,1
cnn.pooling,1276,1278,0.040000,1
cnn.pooling,1277,1278,0.024508,1
cnn.pooling,1278,1278,0.500000,1
cnn.pooling,1279,1278,0.236108,1
cnn.pooling,1280,1278,0.044734,1
cnn.residual-block,1389,1401,0.084866,1
cnn.residual-block,1390,1401,0.199812,1
cnn.residual-block,1391,1401,0.042541,1
cnn.residual-block,1392,1401,0.209596,1
cnn.residual-block,1393,1401,0.084866,1
cnn.residual-block,1394,1401,0.024508,1
cnn.residual-block,1395,1401,0.044734,1
cnn.residual-block,1396,1401,0.299905,1
cnn.residual-block,1397,1401,0.149501,1
cnn.residual-block,1398,1401,0.087902,1
cnn.residual-block,1399,1401,0.265716,1
cnn.residual-block,1400,1401,0.341524,1
cnn.residual-block,1401,1401,0.500000,1
cnn.resnet34,1413,1424,0.049042,1
cnn.resnet34,1414,1424,0.060000,1
cnn.resnet34,1415,1424,0.374987,1
cnn.resnet34,1416,1424,0.083788,1
cnn.resnet34,1417,1424,0.139700,1
cnn.resnet34,1418,1424,0.034654,1
cnn.resnet34,1419,1424,0.420000,1
cnn.resnet34,1420,1424,0.038781,1
cnn.resnet34,1421,1424,0.034654,1
cnn.resnet34,1422,1424,0.044734,1
cnn.resnet34,1423,1424,0.500000,1
cnn.resnet34,1424,1424,0.500000,1
cnn.resnet34,1425,1424,0.494995,1
cnn.sequential,423,1386,0.079427,1
cnn.sequential,1374,1386,0.053032,1
cnn.sequential,1375,1386,0.028334,1
cnn.sequential,1376,1386,0.074847,1
cnn.sequential,1377,1386,0.054785,1
cnn.sequential,1378,1386,0.084866,1
cnn.sequential,1379,1386,0.109601,1
cnn.sequential,1380,1386,0.114905,1
cnn.sequential,1381,1386,0.050000,1
cnn.sequential,1382,1386,0.030000,1
cnn.sequential,1383,1386,0.070000,1
cnn.sequential,1384,1386,0.060000,1
cnn.sequential,1385,1386,0.054785,1
cnn.sequential,1386,1386,0.500000,1
cnn.sequential,1387,1386,0.161972,1
cnn.sequential,1388,1386,0.378136,1
cnn.stride-views,1217,1230,0.040000,1
cnn.stride-views,1218,1230,0.074847,1
cnn.stride-views,1219,1230,0.054785,1
cnn.stride-views,1220,1230,0.069336,1
cnn.stride-views,1221,1230,0.094882,1
cnn.stride-views,1222,1230,0.090000,1
cnn.stride-views,1223,1230,0.060000,1
cnn.stride-views,1224,1230,0.054785,1
cnn.stride-views,1225,1230,0.069336,1
cnn.stride-views,1226,1230,0.081575,1
cnn.stride-views,1227,1230,0.080000,1
cnn.stride-views,1228,1230,0.139700,1
cnn.stride-views,1229,1230,0.134922,1
cnn.stride-views,1230,1230,0.500000,1
