## Pass 2 – Canonical Category Merge

You will receive a summary of group assignments generated during Pass 1. Each entry includes:
- the original `section_number.section_title`
- the provisional `group_number.group_name`
- a confidence percentage

Your task is to merge semantically equivalent provisional groups into a single canonical category list that can be reused across future runs.

### Output Schema
Return CSV rows in this exact order (no header). Wrap any field that contains a comma or leading/trailing spaces in double quotes; never quote the confidence column:
`[canonical_id], [canonical_name], [merged_source_names], [representative_sections], [confidence_percent], [notes]`

- `canonical_id`: sequential identifiers `G001`, `G002`, … (three digits, zero padded).
- `canonical_name`: short title (≤5 words) that best captures the merged concept.
- `merged_source_names`: semicolon-separated list of distinct provisional group names that map to this canonical category (omit trailing spaces).
- `representative_sections`: semicolon-separated list of the most illustrative `section_number.section_title` values (limit 4 entries).
- `confidence_percent`: your overall confidence (0–100) that the merge is correct.
- `notes`: one concise sentence (≤20 words) giving rationale or disambiguation guidance.

### Guidance
- Prefer fewer, broader canonical categories over many nearly identical ones, but avoid collapsing genuinely different topics.
- When provisional groups diverge meaningfully, keep them separate even if their names share keywords.
- Use the provided confidence scores as hints; low-confidence pass-1 groups should carry less weight when merging.
- Do not include any commentary before or after the CSV rows.

## Pass 1 Group Assignments (CSV)
section_index,section_identifier,group_cell,group_name,confidence
1,1. Toy Models of Superposition,1. Superposition Concepts,Superposition Concepts,90
1,2. Discussion,2. General Discussion,General Discussion,85
1,3. Does this occur in real models?,2. General Discussion,General Discussion,80
1,4. Open Questions,2. General Discussion,General Discussion,75
1,5. SECTION 10,2. General Discussion,General Discussion,70
1,6. Related Work,3. Related Research,Related Research,80
1,7. SECTION 11 <br> Related Work,3. Related Research,Related Research,75
1,8. Comments \& <br> Replications,2. General Discussion,General Discussion,70
1,9. SECTION 12,2. General Discussion,General Discussion,65
1,10. AUTHORS,4. Author Information,Author Information,90
1,11. 0\% Sparsity,5. Sparsity Levels,Sparsity Levels,85
1,12. 80\% Sparsity,5. Sparsity Levels,Sparsity Levels,85
1,13. 90\% Sparsity,5. Sparsity Levels,Sparsity Levels,85
1,14. KEY RESULTS FROM OUR TOY MODELS,1. Superposition Concepts,Superposition Concepts,80
1,"15. Definitions and Motivation: Features, Directions, and Superposition",1. Superposition Concepts,Superposition Concepts,75
1,16. Empirical Phenomena,1. Superposition Concepts,Superposition Concepts,80
1,17. What are Features?,1. Superposition Concepts,Superposition Concepts,75
1,18. Features as Directions,1. Superposition Concepts,Superposition Concepts,75
