,,,,
Topic,Subtopic,Question,Answer,Problem difficulty
Numpy,Vectorization and broadcasting,Row-wise argmax of a 5x5 random int matrix (★☆☆),"Z = np.random.randint(0,10,(5,5)); print(Z.argmax(axis=1))",24
Numpy,Indexing and selection,Create a 8x8 matrix and fill it with a checkerboard pattern (★☆☆),"Z = np.zeros((8,8),dtype=int)
Z[1::2,::2] = 1
Z[::2,1::2] = 1
print(Z)",24
Numpy,Applied patterns and advanced,Create a custom dtype that describes a color as four unsigned bytes (RGBA) (★☆☆),"color = np.dtype([(""r"", np.ubyte),
                  (""g"", np.ubyte),
                  (""b"", np.ubyte),
                  (""a"", np.ubyte)])",24
Numpy,Indexing and selection,"Create a 5x5 matrix with values 1,2,3,4 just below the diagonal (★☆☆)","Z = np.diag(1+np.arange(4),k=-1)
print(Z)",24
Numpy,Vectorization and broadcasting,Compute the Frobenius norm of a 3x3 matrix (★☆☆),"Z = np.random.random((3,3)); print(np.linalg.norm(Z))",22
Numpy,Vectorization and broadcasting,Normalize a random vector to L2 norm 1 (★☆☆),v = np.random.random(5); v /= np.linalg.norm(v); print(v),22
Numpy,Vectorization and broadcasting,Subtract each row's mean from a 5x5 random matrix (★☆☆),"Z = np.random.random((5,5)); Z -= Z.mean(axis=1, keepdims=True); print(Z)",22
Numpy,Core array literacy,Create reproducible random numbers using a seed (★☆☆),rng = np.random.default_rng(42); print(rng.random(3)),22
Numpy,Applied patterns and advanced,"What is the result of the following expression? (★☆☆)
0 * np.nan
np.nan == np.nan
np.inf > np.nan
np.nan - np.nan
np.nan in set([np.nan])
0.3 == 3 * 0.1","print(0 * np.nan)
print(np.nan == np.nan)
print(np.inf > np.nan)
print(np.nan - np.nan)
print(np.nan in set([np.nan]))
print(0.3 == 3 * 0.1)",22
Numpy,Vectorization and broadcasting,Normalize a 5x5 random matrix (★☆☆),"Z = np.random.random((5,5))
Z = (Z - np.mean (Z)) / (np.std (Z))
print(Z)",22
Numpy,Indexing and selection,Create a 4x4 matrix of row indices (★☆☆),"Z = np.indices((4,4))[0]; print(Z)",22
Numpy,Indexing and selection,"Given a 1D array, negate all elements which are between 3 and 8, in place. (★☆☆)","# Author: Evgeni Burovski

Z = np.arange(11)
Z[(3 < Z) & (Z < 8)] *= -1
print(Z)",26
Numpy,Core array literacy,"Consider a (6,7,8) shape array, what is the index (x,y,z) of the 100th element? (★☆☆)","print(np.unravel_index(99,(6,7,8)))",26
Numpy,Indexing and selection,Find unique values and counts in an array (★☆☆),"Z = np.array([1,2,2,3,3,3]); vals, cnts = np.unique(Z, return_counts=True); print(vals, cnts)",20
Numpy,Vectorization and broadcasting,Center a 3x3 matrix by subtracting its mean (★☆☆),"Z = np.random.random((3,3)); Z = Z - Z.mean(); print(Z)",20
Numpy,Core array literacy,Create a 5x5 strict lower triangular matrix of ones (★☆☆),"Z = np.tril(np.ones((5,5)), k=-1); print(Z)",20
Numpy,Indexing and selection,How to add a border (filled with 0's) around an existing array? (★☆☆),"Z = np.ones((5,5))
Z = np.pad(Z, pad_width=1, mode='constant', constant_values=0)
print(Z)

# Using fancy indexing
Z[:, [0, -1]] = 0
Z[[0, -1], :] = 0
print(Z)",20
Numpy,Core array literacy,Replace NaNs with zero (★☆☆),"Z = np.array([0.0, np.nan, 1.0]); Z = np.nan_to_num(Z, nan=0.0); print(Z)",20
Numpy,Core array literacy,Get real and imaginary parts of complex array (★☆☆),"Z = np.array([1+2j, 3+4j]); print(np.real(Z), np.imag(Z))",20
Numpy,Applied patterns and advanced,"What is the output of the following script? (★☆☆)
# Author: Jake VanderPlas

print(sum(range(5),-1))
from numpy import *
print(sum(range(5),-1))","# Author: Jake VanderPlas

print(sum(range(5),-1))
from numpy import *
print(sum(range(5),-1))",28
Numpy,Applied patterns and advanced,"Consider an integer vector Z, which of these expressions are legal? (★☆☆)
Z**Z
2 << Z >> 2
Z <- Z
1j*Z
Z/1/1
Z<Z>Z","Z**Z
2 << Z >> 2
Z <- Z
1j*Z
Z/1/1
Z<Z>Z",28
Numpy,Indexing and selection,Compute differences along rows of a 3x3 matrix (★☆☆),"Z = np.arange(9).reshape(3,3); print(np.diff(Z, axis=1))",18
Numpy,Vectorization and broadcasting,Flatten a 3x4 matrix in column-major order (★☆☆),"Z = np.arange(12).reshape(3,4); print(Z.flatten('F'))",18
Numpy,Core array literacy,Replace the maximum of a random vector with 0 (★☆☆),Z = np.random.random(10); Z[Z.argmax()] = 0; print(Z),18
Numpy,Core array literacy,Swap the first and last rows of a 3x3 matrix (★☆☆),"Z = np.arange(9).reshape(3,3); Z[[0,2]] = Z[[2,0]]; print(Z)",18
Numpy,Core array literacy,Create a 10x10 array with random values and find the minimum and maximum values (★☆☆),"Z = np.random.random((10,10))
Zmin, Zmax = Z.min(), Z.max()
print(Zmin, Zmax)",18
Numpy,Indexing and selection,Create a 2d array with 1 on the border and 0 inside (★☆☆),"Z = np.ones((10,10))
Z[1:-1,1:-1] = 0
print(Z)",18
Numpy,Core array literacy,Create a random vector of size 30 and find the mean value (★☆☆),"Z = np.random.random(30)
m = Z.mean()
print(m)",18
Numpy,Core array literacy,"Create meshgrid for x=[0,1,2], y=[0,1] (★☆☆)","x, y = np.meshgrid(np.arange(3), np.arange(2)); print(x); print(y)",18
Numpy,Core array literacy,Swap the first and last columns of a 3x3 matrix (★☆☆),"Z = np.arange(9).reshape(3,3); Z[:,[0,2]] = Z[:,[2,0]]; print(Z)",18
Numpy,Core array literacy,Create a 5x5 upper triangular matrix of ones (★☆☆),"Z = np.triu(np.ones((5,5))); print(Z)",18
Numpy,Core array literacy,Check if any element is NaN (★☆☆),"Z = np.array([0.0, np.nan, 1.0]); print(np.isnan(Z).any())",18
Numpy,Applied patterns and advanced,"What are the result of the following expressions? (★☆☆)
np.array(0) / np.array(0)
np.array(0) // np.array(0)
np.array([np.nan]).astype(int).astype(float)","print(np.array(0) / np.array(0))
print(np.array(0) // np.array(0))
print(np.array([np.nan]).astype(int).astype(float))",30
Numpy,Core array literacy,"Tile [1,2,3] three times (★☆☆)","Z = np.array([1,2,3]); print(np.tile(Z, 3))",16
Numpy,Core array literacy,"Repeat each element of [1,2,3] three times (★☆☆)","Z = np.array([1,2,3]); print(np.repeat(Z, 3))",16
Numpy,Core array literacy,"Reshape a vector of size 12 to shape (2,2,3) (★☆☆)","Z = np.arange(12).reshape(2,2,3); print(Z.shape)",16
Numpy,Vectorization and broadcasting,Compute dot product of two length-3 random vectors (★☆☆),"a = np.random.random(3); b = np.random.random(3); print(np.dot(a,b))",16
Numpy,Indexing and selection,Index of the minimum in a random vector (★☆☆),Z = np.random.random(10); print(Z.argmin()),16
Numpy,Core array literacy,How to get the documentation of the numpy add function from the command line? (★☆☆),"%run `python -c ""import numpy; numpy.info(numpy.add)""`",16
Numpy,Indexing and selection,"Find indices of non-zero elements from [1,2,0,0,4,0] (★☆☆)","nz = np.nonzero([1,2,0,0,4,0])
print(nz)",16
Numpy,Core array literacy,"Create zeros_like an existing (2,3,4) array (★☆☆)","a = np.empty((2,3,4)); Z = np.zeros_like(a); print(Z.shape)",16
Numpy,Core array literacy,Create a 3x3x3 array with random values (★☆☆),"Z = np.random.random((3,3,3))
print(Z)",16
Numpy,Vectorization and broadcasting,Element-wise maximum of two arrays (★☆☆),"a = np.array([1,5,3]); b = np.array([2,4,3]); print(np.maximum(a,b))",16
Numpy,Applied patterns and advanced,"Is the following expressions true? (★☆☆)
np.sqrt(-1) == np.emath.sqrt(-1)",np.sqrt(-1) == np.emath.sqrt(-1),32
Numpy,Applied patterns and advanced,How to ignore all numpy warnings (not recommended)? (★☆☆),"# Suicide mode on
defaults = np.seterr(all=""ignore"")
Z = np.ones(1) / 0

# Back to sanity
_ = np.seterr(**defaults)

# Equivalently with a context manager
with np.errstate(all=""ignore""):
    np.arange(3) / 0",32
Numpy,Core array literacy,Create a 3x3 matrix with values ranging from 0 to 8 (★☆☆),"Z = np.arange(9).reshape(3, 3)
print(Z)",14
Numpy,Core array literacy,"Create a 3x3 matrix with diagonal values 1,2,3 (★☆☆)",Z = np.diag(1 + np.arange(3)); print(Z),14
Numpy,Vectorization and broadcasting,Set odd indices of a vector 0..9 to -1 (★☆☆),Z = np.arange(10); Z[1::2] = -1; print(Z),14
Numpy,Core array literacy,Remove fractional parts from a float array (★☆☆),"Z = np.array([1.2, 3.7, -0.3]); print(np.floor(Z))",14
Numpy,Core array literacy,Create a 4x4 matrix with 2s on the diagonal (★☆☆),Z = np.eye(4) * 2; print(Z),14
Numpy,Core array literacy,How to find the memory size of any array (★☆☆),"Z = np.zeros((10,10))
print(""%d bytes"" % (Z.size * Z.itemsize))

# Simpler alternative
print(""%d bytes"" % Z.nbytes)",14
Numpy,Indexing and selection,Count the number of True values in a boolean array (★☆☆),"Z = np.array([True, False, True, True]); print(np.count_nonzero(Z))",12
Numpy,Core array literacy,Generate 5 evenly spaced numbers from 0 to 1 (★☆☆),"Z = np.linspace(0, 1, 5); print(Z)",12
Numpy,Core array literacy,"Convert degrees to radians for [0,90,180] (★☆☆)","print(np.deg2rad([0,90,180]))",12
Numpy,Applied patterns and advanced,How to get all the dates corresponding to the month of July 2016? (★★☆),"Z = np.arange('2016-07', '2016-08', dtype='datetime64[D]')
print(Z)",40
Numpy,Core array literacy,Consider a generator function that generates 10 integers and use it to build an array (★☆☆),"def generate():
    for x in range(10):
        yield x
Z = np.fromiter(generate(),dtype=float,count=-1)
print(Z)",42
Numpy,Core array literacy,How to print all the values of an array? (★★☆),"np.set_printoptions(threshold=float(""inf""))
Z = np.zeros((40,40))
print(Z)",44
Numpy,Core array literacy,Create a random vector of size 10 and sort it (★★☆),"Z = np.random.random(10)
Z.sort()
print(Z)",46
Numpy,Vectorization and broadcasting,How to compute ((A+B)*(-A/2)) in place (without copy)? (★★☆),"A = np.ones(3)*1
B = np.ones(3)*2
np.add(A,B,out=B)
np.divide(A,2,out=A)
np.negative(A,out=A)
np.multiply(A,B,out=A)",48
Numpy,Vectorization and broadcasting,Create a 5x5 matrix with row values ranging from 0 to 4 (★★☆),"Z = np.zeros((5,5))
Z += np.arange(5)
print(Z)

# without broadcasting
Z = np.tile(np.arange(0, 5), (5,1))
print(Z)",50
Numpy,Indexing and selection,How to find the closest value (to a given scalar) in a vector? (★★☆),"Z = np.arange(100)
v = np.random.uniform(0,100)
index = (np.abs(Z-v)).argmin()
print(Z[index])",50
