Topic,Subtopic,Question,Problem difficulty,Output,Answer
Einsum,Vectorization and broadcasting,"Given a batch of vectors $u$ and $v$, create a batch of matrices where every element of $u$ is multiplied by every element of $v$.
Use numpy (imported as np). Use the exact inputs below and print the result.
u = np.arange(1, 5).reshape((2, 2))
v = np.arange(1, 5).reshape((2, 2))",30,"[[[ 1  2]
  [ 2  4]]

 [[ 9 12]
  [12 16]]]","einsum(u, v, 'b i, b j -> b i j')"
Einsum,Core array literacy,"Swap the rows and columns of a 2D matrix $A$.
Use numpy (imported as np). Use the exact inputs below and print the result.
A = np.arange(1, 5).reshape((2, 2))",20,"[[1 3]
 [2 4]]","einsum(A, 'i j -> j i')"
Einsum,Core array literacy,"Multiply two vectors element-wise and sum the results into a single scalar.
Use numpy (imported as np). Use the exact inputs below and print the result.
v1 = np.arange(1, 3)
v2 = np.arange(1, 3)",30,5,"einsum(v1, v2, 'i, i ->')"
Einsum,Vectorization and broadcasting,"Given two matrices $A$ and $B$, compute the product and return only the values along the diagonal (row $i$, column $i$).
Use numpy (imported as np). Use the exact inputs below and print the result.
A = np.arange(1, 5).reshape((2, 2))
B = np.arange(1, 5).reshape((2, 2))",50,[ 7 22],"einsum(A, B, 'i k, k i -> i')"
Einsum,Core array literacy,"Reduce a 2D matrix into a 1D vector by summing along the vertical (row) axis.
Use numpy (imported as np). Use the exact inputs below and print the result.
A = np.arange(1, 5).reshape((2, 2))",20,[4 6],"einsum(A, 'i j -> j')"
Einsum,Vectorization and broadcasting,"Take two matrices and compute the dot product for every possible pair of rows between them.
Use numpy (imported as np). Use the exact inputs below and print the result.
X = np.arange(1, 5).reshape((2, 2))
Y = np.arange(1, 5).reshape((2, 2))",35,"[[ 5 11]
 [11 25]]","einsum(X, Y, 'n d, m d -> n m')"
Einsum,Vectorization and broadcasting,"For a batch of images, square every pixel value and sum them all up per image.
Use numpy (imported as np). Use the exact inputs below and print the result.
X = np.arange(1, 17).reshape((2, 2, 2, 2))",35,[ 204 1292],"einsum(X, X, 'b c h w, b c h w -> b')"
Einsum,Vectorization and broadcasting,"For each item in a batch, compute the similarity between its own internal feature vectors.
Use numpy (imported as np). Use the exact inputs below and print the result.
A = np.arange(1, 9).reshape((2, 2, 2))",50,"[[[  5  11]
  [ 11  25]]

 [[ 61  83]
  [ 83 113]]]","einsum(A, A, 'b i d, b j d -> b i j')"
Einsum,Applied patterns and advanced,"Apply a single weight vector to every token in a batch, reducing the hidden dimension via a dot product.
Use numpy (imported as np). Use the exact inputs below and print the result.
X = np.arange(1, 9).reshape((2, 2, 2))
v = np.arange(1, 3)",25,"[[ 5 11]
 [17 23]]","einsum(X, v, 'b t d, d -> b t')"
Einsum,Applied patterns and advanced,"Perform a triple-contraction: use a vector to select a weighted combination of a matrix, then dot that result with the vector again.
Use numpy (imported as np). Use the exact inputs below and print the result.
x = np.arange(1, 3)
W = np.arange(1, 5).reshape((2, 2))",55,27,"einsum(x, W, x, 'i, i j, j ->')"
